datetime,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,precip
01/01/23,21,11.7,60.4,9.4,294.7,1016.8,16.1,18.2,0
02/01/23,20.1,12.6,65.5,9,61.4,1016.8,0,18.2,0
03/01/23,21.2,13.9,66.4,9,87,1016.2,16.9,17.9,0
04/01/23,21,14.8,70.3,8.6,89.6,1015.1,37.9,17.7,0
05/01/23,21.1,14.7,69.3,14.4,91.8,1016.1,44,17.7,0
06/01/23,21.7,15.8,70.7,15.8,95.5,1017.7,32.4,17.9,0
07/01/23,21.3,16.3,74.9,17.3,86.6,1018,30.9,17.4,0
08/01/23,20.2,12.8,66.6,11.5,78.7,1016.8,5.7,17.9,0
09/01/23,18.7,9,57.9,10.4,87.8,1017.9,0,18.2,0
10/01/23,18.5,8.1,56,11.9,86.8,1017.3,0,18.2,0
11/01/23,19.5,8.2,54.5,9.4,38.6,1015,0,18.2,0
12/01/23,20.1,8.5,52.9,10.8,288.1,1013.5,0,17.9,0
13/01/23,19.4,11.6,65.3,10.4,298.5,1014.3,2.5,18.2,0
14/01/23,18.9,11.8,68.1,11.5,296.3,1014.2,12.2,18.2,0
15/01/23,19.7,11.9,65.7,9.7,134.9,1012.7,20.8,18.2,0
16/01/23,20.6,10.6,59.5,13.7,250.5,1012.7,0,18.2,0
17/01/23,20.8,10.3,56.5,10.4,267,1013.4,0,17.9,0
18/01/23,21.3,10.7,54.6,7.6,38.7,1014.5,0,18.2,0
19/01/23,21.6,11.1,55.5,9,164.5,1014.6,0,18.2,0
20/01/23,21.8,11.6,56.4,9.7,254.1,1014.2,0,17.9,0
21/01/23,21.4,11.9,58,10.1,270.9,1014.2,4.1,18.2,0
22/01/23,20.4,11.8,61.5,11.2,271.3,1013.4,0.9,18.2,0
23/01/23,20.2,12.1,63,10.8,264.9,1012.6,0.3,17.9,0
24/01/23,20.2,12.9,65.5,14.7,269.2,1012.6,3.4,18.2,0
25/01/23,20.9,13.2,63.9,10.8,290,1012.6,22,17.7,0
26/01/23,22.2,14.6,63.4,11.5,75.5,1012.7,33,18.1,0
27/01/23,22.6,13.8,61.8,14.8,84.6,1013,29.8,18.2,0
28/01/23,21.5,10.5,54.1,15.5,116.7,1012.2,1.5,17.9,0
29/01/23,21.9,14.7,68.3,11.9,236.7,1010.8,19.8,18.7,0
30/01/23,22.1,16.5,74.5,6.8,30,1013.3,55.9,17.9,0
31/01/23,21.6,14.6,68.2,15.5,67.1,1013.6,30.7,18.2,0
01/02/23,21.3,14.5,67,16.9,80,1014,23.7,17.4,0
02/02/23,21.6,13.3,62.7,18,84,1014.2,12,17.9,0
03/02/23,20.9,10.2,54.8,14,80.3,1014.8,40.6,18.2,0
04/02/23,21.3,10.2,53.6,10.8,64.2,1013.3,4.5,18.2,0
05/02/23,21.6,10.2,53.4,9.4,80.6,1012.4,1.3,18.2,0
06/02/23,22.7,11,52.2,13,290.3,1012.4,4.7,17.9,0
07/02/23,22.2,11.3,54.5,8.6,339.8,1012.1,35.8,18.2,0
08/02/23,22.2,11.5,54.9,10.4,66.8,1012.8,68.5,18.4,0
09/02/23,22.8,10.4,50.7,9.7,66.8,1013.3,31.1,18.2,0
10/02/23,23.6,9.9,46.5,9.4,18.7,1014.2,1.9,18.7,0
11/02/23,23.4,8.3,43.7,10.4,350.5,1014.5,2.9,19,0
12/02/23,22.5,8.9,46.2,12.2,72.5,1015.3,0,18.2,0
13/02/23,22,7.7,43.7,16.2,76.3,1016,0,18.2,0
14/02/23,21.5,6.9,43,12.6,82.5,1015.6,0,19,0
15/02/23,21.9,6.3,41.6,12.6,78.6,1013.8,7.1,18.2,0
16/02/23,23,6.6,39.8,15.1,72.4,1014,0,18.2,0
17/02/23,23.4,7,39.2,16.2,63.5,1014.3,0,18.4,0
18/02/23,22.9,7,40.2,15.5,69.2,1014.1,0,19,0
19/02/23,22.5,7.5,42.6,15.1,70.6,1014.2,0,18.4,0
20/02/23,23.8,9.2,43,9.7,74.1,1013.8,0,19.2,0
21/02/23,24.6,10.8,47,8.6,355.8,1013.9,0.9,18.4,0
22/02/23,23.9,10.2,47,9,17.2,1013.4,29.8,18.2,0
